day_of_week,member_casual,ride_length
Friday,casual,0 days 00:30:02.139143878
Friday,member,0 days 00:13:12.293142956
Monday,casual,0 days 00:31:27.679202277
Monday,member,0 days 00:13:04.946607698
Saturday,casual,0 days 00:34:20.706036203
Saturday,member,0 days 00:15:07.321631520
Sunday,casual,0 days 00:37:27.683981378
Sunday,member,0 days 00:15:30.731274158
Thursday,casual,0 days 00:27:19.327358273
Thursday,member,0 days 00:12:38.846694542
Tuesday,casual,0 days 00:27:27.850511155
Tuesday,member,0 days 00:12:40.354727889
Wednesday,casual,0 days 00:27:12.669077757
Wednesday,member,0 days 00:12:42.432965426
